cell,EODf,a_zero,delta_a,dend_tau,input_scaling,mem_tau,noise_strength,ref_period,deltat,tau_a,threshold,v_base,v_offset,v_zero
2010-11-08-al-invivo-1,744.66,9.450855200303527,0.060498440079361865,0.0007742334994649853,31.363843698084207,0.0017257848281706928,0.012409100812593247,0.0010273077926126455,5e-05,0.10223865531575653,1,0,-0.390625,0
2011-10-25-ad-invivo-1,760.50,60.70561732896827,0.15752867579184138,0.004075295861125333,301.37869129345717,0.0029012439225658054,0.02968073683628557,0.0007434544009651972,5e-05,0.11607744742342971,1,0,-34.375,0
2012-04-20-ad-invivo-1,811.57,61.15542998217432,0.18099114092280794,0.006549954587111268,317.4201379309943,0.0014460502988963755,0.03508490455171905,0.001007048276989675,5e-05,0.1718068006049748,1,0,-39.84375,0
2012-04-20-ak-invivo-1,826.07,142.73039605053253,0.34408674592921096,0.0042905816022802655,373.7425313488243,0.0017358116367672107,0.016121166740672717,0.0009347144390364768,5e-05,0.2949535420035986,1,0,21.875,0
2012-06-27-ah-invivo-1,752.07,28.875515577269294,0.20525468484541842,0.010612629869418248,554.4436702347741,0.0017107204697516367,0.0271472345939834,0.0012084459280246903,5e-05,0.11784186849482106,1,0,-148.4375,0
2012-06-27-an-invivo-1,786.29,2.7860389486251593,0.029391448491264804,0.003985634602834923,26.682508784285027,0.001376526707110581,0.003604805695367027,0.0008998947426172306,5e-05,0.13036159256315194,1,0,-4.8828125,0
2012-07-03-ak-invivo-1,928.45,1.1337603254658657,0.009636823781567081,0.0011835211027475872,10.551593612226277,0.0013790127193975233,0.0013081636418144473,0.00011600868359679133,5e-05,0.09604613888260315,1,0,-1.318359375,0
2012-07-12-ag-invivo-1,744.95,3.695738241953972,0.03623619132514362,0.0018084515871059888,14.377436485984251,0.0011056964083457424,0.0041125372009629575,0.0011502269812458804,5e-05,0.11156737983241918,1,0,-0.09765625,0
2012-07-12-ap-invivo-1,772.92,14.804318060119332,0.08421508191399865,0.0013221092024793385,44.13667585034951,0.0014555506316246737,0.016159465360721062,0.00097403156684423,5e-05,0.0714312935754097,1,0,1.171875,0
2012-12-13-af-invivo-1,673.56,23.495808141911642,0.1324559007885552,0.010031950746925707,427.7951451118343,0.003903660950040095,0.018153856801854964,0.0009569332571649322,5e-05,0.13755336036983307,1,0,-111.71875,0
2012-12-13-ah-invivo-1,664.70,28.779813371047524,0.16049265233555093,0.01314225632311085,365.45335373877225,0.0011890432540278138,0.014044744413304281,0.0014219606674122764,5e-05,0.1350142793970573,1,0,-87.5,0
2012-12-13-an-invivo-1,657.91,4.458558193012667,0.030549781596917867,0.001378687228378128,35.834438055915825,0.0029913612464463734,0.005852518402871827,0.001256771411437993,5e-05,0.024870623174021396,1,0,-6.25,0
2012-12-13-ao-invivo-1,657.82,3.2813550587302758,0.02199424769500702,0.001372234851698214,16.707319333864564,0.00221210217479549,0.007347109401659321,0.0008575662334429958,5e-05,0.05671867775854021,1,0,-1.26953125,0
2012-12-20-aa-invivo-1,668.32,4.195725270757472,0.03494694984590694,0.004944939140795805,61.926544628777336,0.001774255774424637,0.006397082203748482,0.0013298764071622482,5e-05,0.06259061000559793,1,0,-14.84375,0
2012-12-20-ab-invivo-1,738.71,9.280347979087807,0.02399411189063231,0.00120664709274584,46.57993094588944,0.001345591696621093,0.0076138573270267875,0.0011385589203656609,5e-05,0.048005025093914855,1,0,-4.78515625,0
2012-12-20-ac-invivo-1,744.95,7.430387927489267,0.03459479087457316,0.0025268601414655655,43.133868817764956,0.0015547575080636315,0.007099446913853285,0.0008625278566343026,5e-05,0.06974558082044995,1,0,-5.6640625,0
2012-12-20-ad-invivo-1,759.82,23.049443800356883,0.07505377496781868,0.004539003389588492,124.17804604983468,0.00106463192556606,0.010618483391053847,0.0010943556029644886,5e-05,0.0931679653142917,1,0,-16.2109375,0
2012-12-20-ae-invivo-1,763.79,28.80721245217218,0.0698601314329484,0.005371563846161885,190.09285659771518,0.001645315861662125,0.011943115636543555,0.0009171798026672154,5e-05,0.06115045426599336,1,0,-31.8359375,0
2012-12-21-ai-invivo-1,787.12,36.7842414315693,0.12763184695279117,0.0031488535186190362,291.18540792514136,0.0020959669717419043,0.03321451893799585,0.0012049087410326699,5e-05,0.12743644124243197,1,0,-54.6875,0
2012-12-21-ak-invivo-1,796.83,2.4867707329904993,0.014127034477017693,0.002861628332432993,31.510428742268093,0.0003974311599786272,0.003398627675991102,0.0006089766381869961,5e-05,0.013593335235228779,1,0,-7.71484375,0
2012-12-21-am-invivo-1,806.15,4.716159805342061,0.03667764979320955,0.004999856382483749,85.64267738935817,0.00241012573550433,0.011026662170574162,0.0011255575558147763,5e-05,0.0544681581478567,1,0,-21.484375,0
2012-12-21-an-invivo-1,812.70,2.6579691222796833,0.012698001151842848,0.002929056579331126,30.47330327087832,0.0006812296678529029,0.006737763075104184,0.0010815182714474752,5e-05,0.029800954358211888,1,0,-6.54296875,0
2013-01-08-aa-invivo-1,800.63,1.1104651443148155,0.008602584313899703,0.0011824418111601317,4.462416862986384,0.0011980061424283523,0.0016372239238665433,0.00038313415155155986,5e-05,0.03752455828256267,1,0,0.5859375,0
2013-01-08-ab-invivo-1,800.25,54.67466209697357,0.23802565736953032,0.00314795259301606,401.47466098307893,0.003233481691970421,0.0435481413010326,0.0004075044135951958,5e-05,0.10601409774748785,1,0,-75.78125,0
2013-02-21-ag-invivo-1,658.70,12.638812661345776,0.10167490092250338,0.003536770266850944,104.74966687228975,0.0016256371684299914,0.014138536979973691,0.0012702670089049608,5e-05,0.07815503514848808,1,0,-20.3125,0
2013-04-10-aa-invivo-1,623.77,7.2029389446183565,0.052641907830485446,0.002224898046101902,62.65798249994464,0.002873209337269388,0.01811955430517219,0.0015625668737142603,5e-05,0.06354491016383691,1,0,-12.5,0
